dataset,model,split,accuracy,C
UCI Digits,LogisticRegression,0.2/0.8,0.9902642559109874,10.0
UCI Digits,LogisticRegression,0.5/0.5,0.9911012235817576,10.0
UCI Digits,LogisticRegression,0.8/0.2,0.9944444444444445,0.1
UCI Digits,DecisionTree,0.2/0.8,0.9534075104311543,
UCI Digits,DecisionTree,0.5/0.5,0.96440489432703,
UCI Digits,DecisionTree,0.8/0.2,0.975,
UCI Digits,SVM,0.2/0.8,0.9902642559109874,0.1
UCI Digits,SVM,0.5/0.5,0.9911012235817576,1.0
UCI Digits,SVM,0.8/0.2,0.9944444444444445,0.01
MNIST,LogisticRegression,0.2/0.8,0.9818392857142857,0.01
MNIST,LogisticRegression,0.5/0.5,0.9829142857142857,0.01
MNIST,LogisticRegression,0.8/0.2,0.9842142857142857,0.01
MNIST,DecisionTree,0.2/0.8,0.9624107142857142,
MNIST,DecisionTree,0.5/0.5,0.9622285714285714,
MNIST,DecisionTree,0.8/0.2,0.9624285714285714,
MNIST,SVM,0.2/0.8,0.9831964285714285,0.01
MNIST,SVM,0.5/0.5,0.9831428571428571,0.01
MNIST,SVM,0.8/0.2,0.9851428571428571,0.01
Pen Digits,LogisticRegression,0.2/0.8,0.9794177848533091,1.0
Pen Digits,LogisticRegression,0.5/0.5,0.9819868995633187,10.0
Pen Digits,LogisticRegression,0.8/0.2,0.9827194179172352,10.0
Pen Digits,DecisionTree,0.2/0.8,0.977712076415738,
Pen Digits,DecisionTree,0.5/0.5,0.9810771470160117,
Pen Digits,DecisionTree,0.8/0.2,0.9745338790359254,
Pen Digits,SVM,0.2/0.8,0.9810097793950421,1.0
Pen Digits,SVM,0.5/0.5,0.982532751091703,1.0
Pen Digits,SVM,0.8/0.2,0.9840836743974534,1.0
Semeion,LogisticRegression,0.2/0.8,0.9756862745098039,10.0
Semeion,LogisticRegression,0.5/0.5,0.9799247176913425,0.1
Semeion,LogisticRegression,0.8/0.2,0.9749216300940439,0.1
Semeion,DecisionTree,0.2/0.8,0.9145098039215687,
Semeion,DecisionTree,0.5/0.5,0.9322459222082811,
Semeion,DecisionTree,0.8/0.2,0.9592476489028213,
Semeion,SVM,0.2/0.8,0.9749019607843137,0.1
Semeion,SVM,0.5/0.5,0.9811794228356336,0.01
Semeion,SVM,0.8/0.2,0.9811912225705329,0.01
